Timestamp,Heading,Users,hashtag,Follower_count
19-11-2020 10:55,Mask \xf0\x9f\x91\x87 Re-breath CO\xc2\xb2 constantly \xf0\x9f\x91\x87 Sensitive throat (itch) &amp; weak lungs \xf0\x9f\x91\x87 Ultimately affects immunity &amp; may cause bacterial pneumonia \xf0\x9f\x91\x87 Further affecting brain &amp; other body functions too \xf0\x9f\x91\x87 Rest fear will do now.  Congrats! You became a customer for Big Pharma.  #Delhicorona https://t.co/NwRr6jq8AX',newindia_in',['Delhicorona'],53
19-11-2020 10:49,People in #delhi dying no one cares #Delhicorona',Jainpankajkasan',"['delhi', 'Delhicorona']",4235
19-11-2020 10:48,#Delhicorona on #Kejriwal gone',Jainpankajkasan',"['Delhicorona', 'Kejriwal']",4235
19-11-2020 10:48,A short lockdown even a week needed to wake up #Delhi from slumber. Hammer &amp; dance approach. Presently only dance!  #Delhicorona @ArvinderSoin @ArvindKejriwal @GKangInd  You r dealing with a 2 crore population which defied a #FirecrackersBan !!!!! Get that! @VishnuNDTV @NCDCgov https://t.co/KLa1fCq680',eagle_mist',"['Delhi', 'Delhicorona', 'FirecrackersBan']",242
19-11-2020 10:47,imagine if cases was increased  in up then they must do politics .  #Delhicorona https://t.co/1OEbDDWYbL',memeskashowroo2',['Delhicorona'],7
19-11-2020 10:47,Carrom Board playing With the Help of Nose https://t.co/RHhCt3raEA via @YouTube #boycottzomato  #BoycottBingo  #No1_dubakoor_Modi  #1in50Million  #Delhicorona  #YourTimeIsUp  #YoutubeIndia  #YouTuber  #Gamail #TwitterOnTheMat  #COVID19  #nrc  #nrc\xe3\x81\xae\xe5\xa4\xa7\xe4\xba\xba\xe9\x81\x94\xe3\x82\x92\xe5\xa5\xbd\xe3\x81\x8d\xe3\x81\xaa\xe4\xba\xba\xe3\x81\xa8\xe7\xb9\x8b\xe3\x81\x8c\xe3\x82\x8a\xe3\x81\x9f\xe3\x81\x84',yousufpasha3',"['boycottzomato', 'BoycottBingo', 'No1_dubakoor_Modi', '1in50Million', 'Delhicorona', 'YourTimeIsUp', 'YoutubeIndia', 'YouTuber', 'Gamail', 'TwitterOnTheMat', 'COVID19', 'nrc', 'nrcã®å¤§äººé”ã‚’å¥½ããªäººã¨ç¹‹ãŒã‚ŠãŸã„']",5
19-11-2020 10:45,When it comes to him than No Politics rest he can do politics on anything. #Delhicorona https://t.co/4uuEaRfggW',HemantaPandit11',['Delhicorona'],43
19-11-2020 10:44,"""I hope at least now the #AAPtards will understand!!! But I don't think this is ever going to happen coz IQ level of these people is very low!!!  @myogiadityanath #BJP #Delhicorona #JaiHind @BJP4India https://t.co/pk6CLUPO26""",HemantaPandit11',"['AAPtards', 'BJP', 'Delhicorona', 'JaiHind']",43
19-11-2020 10:44,Kejriwal increased fine for not wearing mask from 500 \xe2\x82\xb9 to 2000 \xe2\x82\xb9 le public: #delhicorona https://t.co/DxyC7N2ZUV',teslanolan',['delhicorona'],70
19-11-2020 10:43,"@DManujarch But there will be #COVIDIDIOTS still, who will continue to flout the rules, and spread the #covidvirus. #Delhicorona needs #strict compliance to rules.   AND self discipline.'",GreenlyYours',"['COVIDIDIOTS', 'covidvirus', 'Delhicorona', 'strict']",81
19-11-2020 10:42,CM office call recording  #ICAI_DENIES_SAFTEY #icaiexams #icai #Kejriwal #Delhi Dey r just doing formality https://t.co/jTdNjdLQzU  #Delhicorona',sultan_king09',"['ICAI_DENIES_SAFTEY', 'icaiexams', 'icai', 'Kejriwal', 'Delhi', 'Delhicorona']",7
19-11-2020 10:38,@BBCWorld @HarvardHealth @ndtv @sanket  Panic as citizens scurry to get beds ; anxiety at peak #Delhicorona . Deaths rising unabated while the common man party of Delhi (AAP) aam aadmi party ministers who came on plank of ending VIP culture strut around after COVID19 Treatment. https://t.co/oU0Z2mjYVI https://t.co/Z0CeJttlCJ',eagle_mist',['Delhicorona'],242
19-11-2020 10:36,@ArvindKejriwal And #Icai  will ensure that there is more than sufficient no. of student patients to utilise those beds #ICAI_DENIES_SAFTEY #Delhicorona Well done @ArvindKejriwal for not listening to #CA Students and making Delhi a Corona capital.@msisodia @drharshvardhan',AnkitAgg143',"['Icai', 'ICAI_DENIES_SAFTEY', 'Delhicorona', 'CA']",12
19-11-2020 10:35,There is NO NEED for any new normal if you are not under the illusion that EVERY DEATH IS A CORONA DEATH.  #Delhicorona https://t.co/TnTk8Aryou',newindia_in',['Delhicorona'],53
19-11-2020 10:32,No #lockdown for 20 + million #Delhi people who defy #firecrackersban amidst hazardous #DelhiAirQuality sending citizens into emergency room every #Diwali &amp; #Delhicorona !!!??  @soniandtv @BBCHindi @ShamikaRavi @INCDelhi @BJP4Delhi @THNewDelhi @VishnuNDTV @JagranNews @ndtv https://t.co/oU0Z2mjYVI',eagle_mist',"['lockdown', 'Delhi', 'firecrackersban', 'DelhiAirQuality', 'Diwali', 'Delhicorona']",242
19-11-2020 10:27,.#arvindkejriwal #dmrc #Delhicorona #Delhigovt @Sanjay_onair @thesuniltaneja Enclosed crowded metro coaches causing covid spread. Remove window panes.',MrinallChkrvrty',"['arvindkejriwal', 'dmrc', 'Delhicorona', 'Delhigovt']",3
19-11-2020 10:20,"""@one_by_two Not that the Government's COVID plan is perfect....  ...but till people stop seeing the government as an enemy with whom you play hide and seek...  ...no mitigation plan on Earth can stop COVID infections from rising #COVID19  #COVIDIOTS  #Delhi  #Delhicorona  #CoronavirusIndia""",theanitasharma',"['COVID19', 'COVIDIOTS', 'Delhi', 'Delhicorona', 'CoronavirusIndia']",19
19-11-2020 10:18,#Delhicorona situation is getting bad to worse !! Probably  going towards another  lockdown  ..seriously  India in general  can not afford another lockdown',myrandommusing_',['Delhicorona'],157
19-11-2020 10:17,"19 Nov BSE CLOSED @ 43599.96 \xe2\x9d\x8c 580.09 Points &amp; NSE CLOSED @ 12771.70 \xe2\x9d\x8c 166.55 Points, BankNifty Closed 28903.05 \xe2\x9d\x8c 846.80 Points &amp; India VIX Closed 19.5700 \xe2\x9c\x85 0.3100 Points.  #ektakapoor  #SalmanKhanSong #1in50Million  #RakulPreetSingh  #SaifAliKhan  #Delhicorona'",Ja3r',"['ektakapoor', 'SalmanKhanSong', '1in50Million', 'RakulPreetSingh', 'SaifAliKhan', 'Delhicorona']",303
19-11-2020 10:16,"""@nitingzb @ANI Real problem with this man- his using two national flags background- in too obvious an attempt to project himself as future PM! That's all !  Rest is immaterial!  He never had the capability, intent or will to serve ppl! &amp; he never hid it too!        #Delhicorona""",VRspeaking',['Delhicorona'],17
19-11-2020 10:15,#Delhicorona Good decision Rs 2k fine 4not wearing #mask ; must strictly enforce. All parties/entities plz refrain fm playing politics when/where ever #India has #health #crises  @ArvindKejriwal @SatyendarJain @RahulGandhi @drharshvardhan @AmitShah @PMOIndia https://t.co/Y0FlINMgWc',rachnaburman',"['Delhicorona', 'mask', 'India', 'health', 'crises']",7034
19-11-2020 10:14,@ArvindKejriwal Also appreciate people with Rs500/-(out of Rs2000/- fine for not wearing mask) who are catching the culprit. #FightWithCorona #Delhicorona #delhicovid',kshkaran2k',"['FightWithCorona', 'Delhicorona', 'delhicovid']",138
19-11-2020 10:13,"Y @narendramodi @AmitShah lockdown entire country when cases were jus less , Mask is ok but when ppl are walking , touching everything , corona can transmit hope govt will take few important step ,  #Delhicorona'",Pooja29904393',['Delhicorona'],99
19-11-2020 10:11,"This naxali type should resign , tahir hussain, pollution covid capital this farzi muffler man should resign  #Delhicorona'",Arjunsi71579550',['Delhicorona'],10
19-11-2020 10:10,"Few days emergency lockdown could help decrease spread , otherwise cold &amp; population will let corona only multiply , \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94  @narendramodi @AmitShah look into this matter , anyway economy is not going to revive but things are getting worse  #Delhicorona'",Pooja29904393',['Delhicorona'],99
19-11-2020 10:09,First learn how to wear a mask yourself tab Gyan pelna. #Delhicorona https://t.co/1t6xeVpB8I https://t.co/ReBodkUkJ4',thewanderborn',['Delhicorona'],1706
19-11-2020 10:09,#Delhicorona   Now anyone who does not wear a mask will be charged fine but it should have been done long ago. \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\x99\x84\xf0\x9f\x99\x84',DevaC777',['Delhicorona'],0
